train_mae,valid_mae,train_rmse,valid_rmse,n_estimators,max_depth,min_samples,max_features,warm_start
1.6536754350845164,2.006265891576138,2.8447517491972087,3.790009864178374,10,10,5,6,True
1.6536754350845164,2.006265891576138,2.8447517491972087,3.790009864178374,10,10,5,6,False
1.6409976471926817,2.0303270388853853,2.7851406204394173,3.8492175409152907,10,10,5,8,True
1.6409976471926817,2.0303270388853853,2.7851406204394173,3.8492175409152907,10,10,5,8,False
1.6477913730207796,2.0197866682712498,2.7870078450738234,3.8762729931594495,10,10,5,10,True
1.6477913730207796,2.0197866682712498,2.7870078450738234,3.8762729931594495,10,10,5,10,False
2.102444555157041,2.335018682595386,3.534221285941797,4.052588095507699,10,10,10,2,True
2.102444555157041,2.335018682595386,3.534221285941797,4.052588095507699,10,10,10,2,False
1.754518009509649,2.0458924589681895,3.0478289908452494,3.8348762351226386,10,10,10,4,True
1.754518009509649,2.0458924589681895,3.0478289908452494,3.8348762351226386,10,10,10,4,False
1.6938611227154523,2.028422886278954,2.9133094481682944,3.840504139910819,10,10,10,6,True
1.6938611227154523,2.028422886278954,2.9133094481682944,3.840504139910819,10,10,10,6,False
1.6679031500107195,2.014716969037953,2.85630593319449,3.848088687477911,10,10,10,8,True
1.6679031500107195,2.014716969037953,2.85630593319449,3.848088687477911,10,10,10,8,False
1.6499236369046895,2.0406978633285418,2.8009976347537684,3.857056016637778,10,10,10,10,True
1.6499236369046895,2.0406978633285418,2.8009976347537684,3.857056016637778,10,10,10,10,False
2.115258245258246,2.3372058521611114,3.578359520592054,4.109675636668243,10,10,20,2,True
2.115258245258246,2.3372058521611114,3.578359520592054,4.109675636668243,10,10,20,2,False
1.8202184261814895,2.0691653087430684,3.141982671271439,3.853542148991278,10,10,20,4,True
1.8202184261814895,2.0691653087430684,3.141982671271439,3.853542148991278,10,10,20,4,False
1.7398939100615256,2.0456245400789923,3.004591140553035,3.8620094812442516,10,10,20,6,True
1.7398939100615256,2.0456245400789923,3.004591140553035,3.8620094812442516,10,10,20,6,False
1.6955570970696683,2.0307442503549438,2.913916473665344,3.878203427423484,10,10,20,8,True
1.6955570970696683,2.0307442503549438,2.913916473665344,3.878203427423484,10,10,20,8,False
1.7066689011793306,2.058161762620767,2.928333532786297,3.9130108697091077,10,10,20,10,True
1.7066689011793306,2.058161762620767,2.928333532786297,3.9130108697091077,10,10,20,10,False
